|1identity|2g-mod|3anarch|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1045|11whenever you install a virus program, the corp trashes the top card of r&d.|12|13noise: hacker extraordinaire|
|1program|2icebreaker, killer|3criminal|4&^|5&^^|6|7|8&^|9|10|11{C}^: break &^ sentry subroutine.\{C}^^: +&^ strength.\when you install this program, choose &^ installed piece of ice.\whenever you encounter the chosen ice, you may pay {C}^ for each subroutine it has. if you do, bypass that ice.|12&^^^^^^^^^|13femme fatale|

|1program|2icebreaker, killer|3criminal|4&^^|5&|6|7|8&^|9|10|11{C}^: break &^ sentry subroutine.\{C}^^^: +&^^^^^ strength.|12&^^^^|13ninja|

|1program|2|3criminal|4&^^^|5|6|7|8&^^|9|10|11{O}: run archives. if that run would be declared successful, change the attacked server to hq for the remainder of that run.|12&^^^^|13sneakdoor beta|

|1resource|2job|3criminal|4&^^|5|6|7|8|9|10|11when you install this resource, load {C}^^^^^^^^ on it. when it is empty, trash it.\whenever you make a successful run on a remote server, instead of breaching that server, you may take any number of credits from this resource.|12&^|13bank job|

|1resource|2location|3criminal|4&^^|5|6|7|8|9|10|11{R}^^\use these credits to pay for removing tags.\{T}: prevent up to &^^^ meat damage.|12&^^|13crash space|

|1resource|2connection, seedy|3criminal|4&^^|5|6|7|8|9|10|11{O}, forfeit &^ agenda: gain {C}^^^^^^^^^.|12&|13data dealer|

|1resource|2connection|3criminal|4&^^|5|6|7|8|9|10|11{T}: avoid receiving &^ tag.|12&^|13decoy|

|1identity|2natural|3shaper|4&|5|6|7&^|8|9&^^^^^^^^^^^^^^^|1045|11lower the install cost of the first program or piece of hardware you install each turn by &^.|12|13kate "mac" mccaffrey: digital tinker|

|1event|2|3shaper|4&^^|5|6|7|8|9|10|11draw &^^^ cards.|12&|13diesel|

|1event|2mod|3shaper|4&^^|5|6|7|8|9|10|11install a program or piece of hardware, lowering the install cost by &^^^.|12&|13modded|

|1event|2run|3shaper|4&^^|5|6|7|8|9|10|11run r&d. if successful, access &^^ additional cards when you breach r&d.|12&^^|13the maker's eye|

|1event|2mod|3shaper|4&^^^^|5|6|7|8|9|10|11choose a piece of ice. that ice gains sentry, code gate, and barrier until the end of the turn.|12&|13tinkering|

|1hardware|2chip|3shaper|4&^|5|6|7|8|9|10|11+{M}^|12&^|13akamatsu mem chip|

|1hardware|2link|3shaper|4&^|5|6|7|8|9|10|11+{L}^\when @ is installed, you may search your stack for another copy of @ and install it by paying its install cost. shuffle your stack.|12&^^|13rabbit hole|

|1hardware|2mod|3shaper|4&^^|5|6|7|8|9|10|11install @ only on an icebreaker.\host icebreaker has +&^ strength.|12&^^|13the personal touch|

|1hardware|2console|3shaper|4&^^|5|6true|7|8|9|10|11+{M}^^ +{L}^^\{R}^^\use these credits to pay for using icebreakers.\limit &^ console per player.|12&^^^^^^^^^|13the toolbox|

|1program|2icebreaker, fracter|3shaper|4&^^|5&^^^|6|7|8&^^|9|10|11{C}^^: break up to &^^ barrier subroutines.\{C}^: +&^ strength for the remainder of this run.|12&^^^^^|13battering ram|

|1program|2icebreaker, decoder|3shaper|4&^^^|5&^^|6|7|8&^|9|10|11{C}^: break &^ code gate subroutine.\{C}^: +&^ strength for the remainder of this run.|12&^^^^|13gordian blade|

|1program|2|3shaper|4&^^|5|6|7|8&^^|9|10|11{O}: gain {C}^^.|12&^^^^^|13magnum opus|

|1program|2|3shaper|4&^|5|6|7|8&^|9|10|11the first time each turn you would take net damage, you may pay {C}^ to prevent &^ net damage.|12&^^|13net shield|

|1program|2icebreaker, killer|3shaper|4&^|5&^|6|7|8&^|9|10|11{C}^: break &^ sentry subroutine.\{C}^^: +&^ strength for the remainder of this run.|12&^^^|13pipeline|

|1resource|2connection, location|3shaper|4&^^|5|6true|7|8|9|10|11when your turn begins, you may trash &^ of your other installed cards. if you do, gain {C}^^^.|12&^|13aesop's pawnshop|

|1resource|2remote|3shaper|4&^|5|6|7|8|9|10|11{T}: prevent an installed program or an installed piece of hardware from being trashed.|12&|13sacrificial construct|

|1event|2|3neutral|4&|5|6|7|8|9|10|11gain {C}^^ or expose &^ card.|12&|13infiltration|

|1event|2|3neutral|4&|5|6|7|8|9|10|11gain {C}^^^^^^^^^.|12&^^^^^|13sure gamble|

|1program|2icebreaker, ai, virus|3neutral|4&|5&|6|7|8&^|9|10|11{C}^: break &^ subroutine.\{C}^: +&^ strength.\{O}: place &^ virus counter on this program.\whenever an encounter ends, if you used this program to break a subroutine during that encounter, remove &^ hosted virus counter or trash this program.|12&^^^^^|13crypsis|

|1resource|2link|3neutral|4&|5|6|7|8|9|10|11+{L}^|12&^|13access to globalsec|

|1resource|2job|3neutral|4&|5|6|7|8|9|10|11place {C}^^ from the bank on @ when it is installed. when there are no credits left on @, trash it.\{O}: take {C}^^ from @.|12&^|13armitage codebusting|

|1identity|2natural|3anarch|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1045|11{R}^^^\use these credits to trash cards.|12|13whizzard: master gamer|

|1hardware|2console|3anarch|4&^^|5|6true|7|8|9|10|11+{M}^, {R}^^\use these credits to pay for using icebreakers.\whenever there is a successful trace during a run, suffer &^ brain damage.\limit &^ console per player.|12&^^^^|13spinal modem|

|1program|2virus|3anarch|4&^^^|5|6|7|8&^|9|10|11when you install this program, place &^^ virus counters on it.\hosted virus counter: trash the card you are accessing. use this ability only once per turn.|12&^^|13imp|

|1program|2icebreaker, fracter|3anarch|4&^^^^|5&^^^^^|6|7|8&^^|9|10|11{C}^: break any number of barrier subroutines.|12&^^^^^^^^|13morning star|

|1hardware|2chip|3criminal|4&^^|5|6|7|8|9|10|11{T}: choose a piece of ice. the corp must pay {C}^^ as an additional cost to rez that ice until the end of the turn.|12&|13cortez chip|

|1program|2icebreaker, decoder|3criminal|4&^^|5&^^|6|7|8&^|9|10|11{C}^^: break &^ code gate subroutine.\{C}^^: +&^^^ strength.|12&^^^|13peacock|

|1program|2icebreaker, decoder, cloud|3shaper|4&^^|5&^|6|7|8&^|9|10|11if you have at least {L}^^, the memory cost of this program is {M}, even if it is not installed.\{C}^: break &^ code gate subroutine.\{C}^: +&^ strength.|12&^|13zu.13 key master|

|1resource|2connection, link, virtual|3shaper|4&^^|5|6true|7|8|9|10|11+{L}^\{T}: choose an icebreaker. that icebreaker has +&^^ strength until the end of the turn.|12&^^|13the helpful ai|

|1hardware|2gear|3neutral|4&|5|6|7|8|9|10|11place &^^^^ power counters on @ when it is installed. when there are no power counters left on @, trash it.\hosted power counter: prevent &^ meat damage.|12&^^^|13plascrete carapace|

|1event|2run, sabotage|3anarch|4&^^|5|6|7|8|9|10|11run hq. if successful, instead of breaching hq, you may spend {C}X. if you do, the corp loses {C}X. if you spent credits, take &^ tag.|12&|13vamp|

|1resource|2|3anarch|4&^^|5|6|7|8|9|10|11when you install this resource, load {C}^^^^^^ onto it. when it is empty, trash it.\{O}: take {C}^^^^ from this resource.|12&^^^^^^|13liberated account|

|1event|2|3criminal|4&^^^|5|6|7|8|9|10|11expose up to &^^ cards.|12&^^|13satellite uplink|

|1hardware|2mod|3criminal|4&^^|5|6|7|8|9|10|11whenever you break a subroutine on a piece of ice, you may pay {C}^ to break &^ subroutine on that ice.|12&^^|13e3 feedback implants|

|1resource|2connection, link|3criminal|4&^|5|6|7|8|9|10|11{R}^\use this credit during traces.\gain {C}^ whenever the corp rezzes a piece of ice.|12&^^|13compromised employee|

|1event|2|3shaper|4&^|5|6|7|8|9|10|11play only if you made a successful run on r&d, hq, and archives this turn.\add @ to your score area as an agenda worth &^ agenda point.|12&^|13notoriety|

|1program|2icebreaker, fracter|3shaper|4&^^|5&^|6|7|8&^|9|10|11{C}^: break &^ barrier subroutine.\{C}^: +&^ strength.\whenever you use this program to break a subroutine, this program gets +&^ strength for the remainder of this run.|12&^^^^|13snowball|

|1hardware|2chip, link|3neutral|4&|5|6|7|8|9|10|11+{M}^, +{L}^|12&^^^|13dyson mem chip|

|1program|2virus|3anarch|4&^^|5|6|7|8&^|9|10|11whenever you make a successful run on hq, place &^ virus counter on this program.\whenever you breach hq, choose a number less than the number of hosted virus counters. access that many additional cards.|12&^^^|13nerve agent|

|1resource|2connection|3anarch|4&^^^|5|6true|7|8|9|10|11when your turn begins, you may gain {O}. if you do, take &^ tag when this turn ends.|12&^|13joshua b.|

|1event|2sabotage|3criminal|4&^^|5|6|7|8|9|10|11play only if you made a successful run on hq this turn.\derez &^ installed piece of ice.|12&|13emergency shutdown|

|1hardware|2gear|3criminal|4&^|5|6|7|8|9|10|11the first time each turn you would take meat damage, prevent &^ meat damage.|12&^|13muresh bodysuit|

|1program|2|3criminal|4&^^|5|6|7|8&^|9|10|11once per run, you may expose an unrezzed piece of ice when you approach it. you may then jack out.|12&^^^|13snitch|

|1identity|2g-mod|3shaper|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1040|11+{M}^|12|13chaos theory: wünderkind|

|1event|2|3shaper|4&^^^|5|6|7|8|9|10|11search either your stack or your heap for &^ program.  install that program, ignoring all costs. when your turn ends, if that program has not been uninstalled, add it to the top of your stack.|12&^^^|13test run|

|1hardware|2console|3shaper|4&^^|5|6true|7|8|9|10|11@ can host a single non-ai icebreaker. the memory cost of the hosted icebreaker does not count against your memory limit.\hosted icebreaker has +&^^ strength.\limit &^ console per player.|12&^^^^^|13dinosaurus|

|1resource|2location|3shaper|4&^^^^|5|6|7|8|9|10|11{O}: host a program or piece of hardware from your grip on @ and place power counters on it equal to its install cost.\{C}^: remove &^ power counter from a hosted card.\when your turn begins, remove &^ power counter from a hosted card.\when there are no power counters left on a hosted card, install it, ignoring all costs.|12&^|13personal workshop|

|1resource|2|3neutral|4&|5|6|7|8|9|10|11your maximum hand size is increased by &^^.|12&^^|13public sympathy|

|1program|2|3anarch|4&^|5|6|7|8&^|9|10|11{T}: reduce the base trace strength of a trace to &.|12&^|13disrupter|

|1program|2icebreaker, decoder|3anarch|4&^|5&^|6|7|8&^|9|10|11{C}^^: break up to &^^ code gate subroutines.\{C}^: +&^ strength.|12&^^^^^|13force of nature|

|1resource|2connection, seedy|3anarch|4&^|5|6|7|8|9|10|11{R}^^ \you can spend hosted credits to pay trash costs.|12&^^|13scrubber|

|1hardware|2console|3criminal|4&^^|5|6true|7|8|9|10|11+{M}^\once per turn, you may immediately make another run when a successful run ends.\limit &^ console per player.|12&^^^|13doppelgänger|

|1program|2|3criminal|4&^|5|6|7|8&^|9|10|11{T}: derez &^ piece of ice you fully broke during this encounter.|12&^|13crescentus|

|1program|2icebreaker|3shaper|4&^|5&^^^^^^^^^^|6|7|8&^|9|10|11{T}: break any number of ap subroutines.\{T}: prevent any amount of net damage.|12&^^^|13deus x|

|1resource|2|3shaper|4&^^|5|6|7|8|9|10|11{O}, {T}: gain {O}{O}.|12&|13all-nighter|

|1resource|2connection|3neutral|4&|5|6|7|8|9|10|11{R}^^\use these credits to install hardware.|12&^^^|13inside man|

|1resource|2connection|3neutral|4&|5|6|7|8|9|10|11when your turn begins, gain {C}^ if you have at least {L}^^.|12&^^|13underworld contact|

|1event|2|3anarch|4&^|5|6|7|8|9|10|11play only if you placed at least &^ virus counter on a program this turn.\place &^^ virus counters on that program.|12&|13surge|

|1resource|2virtual|3anarch|4&^^|5|6true|7|8|9|10|11the rez cost of each piece of ice is increased by {C}^.|12&^^^|13xanadu|

|1identity|2natural|3criminal|4&|5|6|7&^|8|9&^^^^^^^^^^^^^^^|1045|11you draw a starting hand of &^^^^^^^^^ cards.|12|13andromeda: dispossessed ristie|

|1event|2|3criminal|4&^|5|6|7|8|9|10|11remove &^ tag. then, you may pay {C}^ to add this event to your grip.|12&|13networking|

|1hardware|2|3criminal|4&^^|5|6|7|8|9|10|11whenever you breach hq, access &^ additional card.|12&^^^^|13hq interface|

|1program|2virus|3criminal|4&^^|5|6|7|8&^|9|10|11{R}X\use these credits during runs on hq. x is the number of virus counters on @.\whenever you make a successful run on hq, place &^ virus counter on @.|12&^^|13pheromones|

|1event|2|3shaper|4&^|5|6|7|8|9|10|11draw &^^^^^ cards.|12&^^^|13quality time|

|1hardware|2|3shaper|4&^^|5|6|7|8|9|10|11whenever you install a piece of hardware (including @), you may search your stack for another copy of that hardware, reveal it, and add it your grip. shuffle your stack.|12&^^|13replicator|

|1program|2icebreaker, killer, cloud|3shaper|4&^|5&^^|6|7|8&^|9|10|11if you have at least {L}^^, the memory cost of this program is {M}, even if it is not installed.\{C}^^: break &^ sentry subroutine.\{C}^: +&^ strength.|12&^^^^^|13creeper|

|1event|2|3neutral|4&|5|6|7|8|9|10|11play only if you stole an agenda this turn.\choose a server. the corp trashes &^ piece of ice protecting that server.|12&^^^|13kraken|

|1resource|2connection|3neutral|4&|5|6true|7|8|9|10|11you cannot use @ more than once per turn.\{O}: place {C}^^^ from the bank on @.\{O}: take all credits from @.|12&^^|13kati jones|

|1event|2run|3anarch|4&^^|5|6|7|8|9|10|11run archives. if successful, instead of breaching archives, you may install &^ program from your heap, ignoring all costs.|12&^^^|13retrieval run|

|1program|2icebreaker, ai, virus|3anarch|4&^^^|5X|6|7|8&^|9|10|11{C}^^: break &^ subroutine.\x is equal to the number of hosted virus counters.\when your turn begins, you may pay {C}^ to place &^ virus counter on this program.|12&^^^|13darwin|

|1resource|2virtual, sabotage|3anarch|4&^|5|6|7|8|9|10|11install only if you made a successful run on a central server this turn.\if you are tagged, @ gains "{O}: the corp trashes the top card of r&d."|12&|13data leak reversal|

|1program|2icebreaker, killer|3criminal|4&^^^|5&^^|6|7|8&^|9|10|11{C}: break &^ sentry subroutine.\{C}^: +&^ strength.\whenever an encounter ends, if you used this program to break a subroutine during that encounter, trash this program.|12&|13faerie|

|1resource|2connection|3criminal|4&^^|5|6true|7|8|9|10|11{O}: draw &^^ cards. when you do, add &^ of those cards to the bottom of your stack.|12&^^^|13mr. li|

|1event|2run|3shaper|4&^^^|5|6|7|8|9|10|11run r&d. if successful, instead of breaching r&d, you may look at the top &^^^^^ cards of r&d and arrange them in any order.|12&|13indexing|

|1hardware|2|3shaper|4&^^|5|6|7|8|9|10|11whenever you breach r&d, access &^ additional card.|12&^^^^|13r&d interface|

|1program|2virus|3shaper|4&^^|5|6|7|8&^|9|10|11whenever you make a successful run on r&d, place &^ virus counter on @.\if there are at least &^^^ virus counters on @, it gains "when your turn begins, you may look at the top card of r&d."|12&^|13deep thought|

|1resource|2location, government|3neutral|4&|5|6true|7|8|9|10|11{C}^^: avoid &^ tag.\trash @ when you steal an agenda.|12&^|13new angeles city hall|

|1identity|2cyborg|3shaper|4&|5|6|7&|8|9&^^^^^^^^^^|1045|11the first time each turn you encounter a piece of ice, it gains code gate for the remainder of this run.|12|13rielle "kit" peddler: transhuman|

|1identity|2natural|3shaper|4&|5|6|7&|8|9&^|1045|11the first copy of each program in this deck does not count against your influence limit.|12|13the professor: keeper of knowledge|

|1identity|2natural|3shaper|4&|5|6|7&^|8|9&^^^^^^^^^^^^^^^|1045|11whenever you install a program from your heap, draw &^ card.|12|13exile: streethawk|

|1event|2run|3shaper|4&^^^^^|5|6|7|8|9|10|11run hq. if successful, instead of breaching hq, rearrange any number of ice protecting all servers. |12&^^^|13escher|

|1event|2run|3shaper|4&^^|5|6|7|8|9|10|11run any server. if successful, instead of breaching that server, remove up to &^^^ advancement counters from &^ card in the root of or protecting the attacked server.|12&^|13exploratory romp|

|1event|2job|3shaper|4&^|5|6|7|8|9|10|11trash up to &^^^^^ programs from your grip. gain {C}^^ for each program trashed.|12&|13freelance coding contract|

|1event|2|3shaper|4&^^|5|6|7|8|9|10|11trash &^ installed program. if you do, install &^ program from your grip or heap, paying {C}X less. x is equal to the install cost of the program you trashed.|12&|13scavenge|

|1event|2|3shaper|4&^^^|5|6|7|8|9|10|11shuffle your grip and heap into your stack. draw &^^^^^ cards. remove @ from the game instead of trashing it.|12&^^^^^|13levy ar lab access|

|1hardware|2console|3shaper|4&^^^|5|6true|7|8|9|10|11+{M}^^^\when you install @, install up to &^^^ programs from your grip, lowering the install cost of each by {C}^^^^.\trash a program from your grip: prevent &^ brain or net damage.\limit &^ console per player.|12&^^^^^^^^^^^^^^^^^^|13monolith|

|1hardware|2gear|3shaper|4&^|5|6|7|8|9|10|11{C}^^^: prevent &^ net damage.\{T}: prevent up to &^^ brain damage.|12&^^|13feedback filter|

|1hardware|2chip|3shaper|4&^^|5|6|7|8|9|10|11{T}: install a program from your heap (paying the install cost).|12&^|13clone chip|

|1hardware|2gear|3shaper|4&^^^|5|6|7|8|9|10|11@ can host a single program of {M}^ or less. the memory cost of the hosted program does not count against your memory limit.\{R}^\use this credit to pay for using the hosted program.|12&^^^|13omni-drive|

|1program|2icebreaker, ai|3shaper|4&^^^|5&|6|7|8&^|9|10|11when you install this program, you may pay {C}X to place x power counters on it.\this program gets +&^ strength for each hosted power counter, and it can only interface with ice of exactly equal strength.\{C}^: break &^ subroutine.|12&^^^|13atman|

|1program|2stealth|3shaper|4&^^|5|6|7|8&^|9|10|11{R}^\use this credit to pay for using icebreakers.|12&^|13cloak|

|1program|2icebreaker, killer|3shaper|4&^^|5&|6|7|8&^|9|10|11{C}^: break &^ sentry subroutine.\{C}^: +&^^^^^ strength. use this ability only by spending a credit from a stealth card.|12&^^^|13dagger|

|1program|2virus|3shaper|4&^^|5|6|7|8&^|9|10|11whenever you make a successful run on r&d, place &^ virus counter on @.\if there are at least &^^^ virus counters on @, the advancement requirement of all agendas is increased by &^.|12&^^|13chakana|

|1program|2icebreaker, decoder|3shaper|4&^^^|5&^^^^|6|7|8&^|9|10|11when you install this program, choose a server. use this program only during runs on the chosen server.\{C}^: break &^ code gate subroutine.\{C}^: +&^ strength.|12&^^|13cyber-cypher|

|1program|2|3shaper|4&^|5|6|7|8&^|9|10|11{R}^^ \you can spend hosted credits to pay trash costs of assets.|12&|13paricia|

|1program|2|3shaper|4&^^^|5|6|7|8&^^|9|10|11{C}^^, {T}: search your stack for a program. install it.|12&|13self-modifying code|

|1program|2|3shaper|4&^^|5|6|7|8&^|9|10|11{R}^^\use these credits to install programs (you cannot use @ to install a program that trashes @).|12&^^|13sahasrara|

|1program|2icebreaker, fracter|3shaper|4&^|5&^|6|7|8&^|9|10|11{C}^: break &^ barrier subroutine.\{C}^^: +&^ strength for the remainder of this run.|12&|13inti|

|1resource|2connection|3shaper|4&^^|5|6|7|8|9|10|11{O}: gain {C}^ and draw &^ card.|12&^^^^^|13professional contacts|

|1resource|2link|3shaper|4&^^|5|6|7|8|9|10|11+{L}^\your maximum hand size is increased by &^.|12&^^^|13borrowed satellite|

|1resource|2virtual|3shaper|4&^|5|6|7|8|9|10|11whenever the corp rezzes a piece of ice, place {C}^ on @.\you may use credits on @ to install programs.|12&|13ice analyzer|

|1event|2run|3neutral|4&|5|6|7|8|9|10|11run any server. when that run ends, if it was successful, gain {C}^^^^^.|12&^^|13dirty laundry|

|1resource|2|3neutral|4&|5|6|7|8|9|10|11when you install this resource, load {C}^^^^^^^^ onto it. when it is empty, trash it.\when your turn begins, take {C}^^ from this resource.|12&^^^|13daily casts|

|1resource|2|3neutral|4&|5|6|7|8|9|10|11{O}, {O}, {T}: play an event from your heap (paying its play cost).|12&|13same old thing|

|1resource|2connection|3neutral|4&^^|5|6true|7|8|9|10|11the advancement requirement of all agendas is increased by &^.\as an additional cost to steal an agenda, you must pay {C}^^^.\trash @ when an agenda is scored or stolen.|12&^^|13the source|

|1event|2double|3anarch|4&^^|5|6|7|8|9|10|11as an additional cost to play this event, spend {O}.\forfeit an agenda. if you do, give the corp &^ bad publicity.|12&^|13frame job|

|1program|2caïssa|3anarch|4&^|5|6|7|8&|9|10|11{O}: host this program on the outermost piece of ice protecting a central server.\whenever you make a successful run while this program is hosted on a piece of ice, move it to the next inward piece of ice, if able. if you cannot, trash this program and install &^ other caïssa program from your grip or heap, ignoring all costs.|12&|13pawn|

|1program|2caïssa|3anarch|4&^^|5|6|7|8&^|9|10|11{O}: host @ on a piece of ice not hosting a caïssa. if already hosted, @ can be hosted only on ice protecting this server or on ice in the same position (counting from the innermost spot) protecting another server.\the rez cost of each piece of ice protecting this server is increased by &^^.|12&^^|13rook|

|1event|2double|3criminal|4&^^|5|6|7|8|9|10|11as an additional cost to play this event, spend {O}.\search your stack for a connection, reveal it, and add it to your grip. you may install that connection (paying its install cost). shuffle your stack.|12&^|13hostage|

|1program|2virus|3criminal|4&^|5|6|7|8&^|9|10|11whenever the corp spends a {O} to draw &^ card or gain {C}^ (not through a card ability), place &^ virus counter on @.\{O}, {T}: gain {C}^ for each virus counter on @.|12&^|13gorman drip v1|

|1hardware|2chip, stealth|3shaper|4&^^^|5|6|7|8|9|10|11{R}^\use this credit to pay for using decoders.|12&^|13lockpick|

|1program|2|3shaper|4&^^|5|6|7|8&^|9|10|11whenever you pass a piece of unrezzed ice, you may trash @. if you do, the corp must rez that ice or add it to hq.|12&^|13false echo|

|1resource|2|3shaper|4&^|5|6|7|8|9|10|11when your turn begins, you may look at the top card of your stack.|12&|13motivation|

|1resource|2connection|3neutral|4&|5|6true|7|8|9|10|11the first time you make a successful run each turn, draw &^ card.\the first time you make an unsuccessful run each turn, take &^ tag.|12&^^|13john masanori|

|1program|2caïssa|3anarch|4&^^|5|6|7|8&^|9|10|11{O}: host @ on a piece of ice not hosting a caïssa. if already hosted, @ can be hosted only on ice protecting a central server if @ is on ice protecting a remote server, or on ice protecting a remote server if @ is on ice protecting a central server.\host ice has -&^^ strength.|12&|13bishop|

|1program|2daemon|3anarch|4&^|5|6true|7|8&|9|10|11@ can host any number of programs.\whenever you install a program on @, gain {C}^.|12&|13scheherazade|

|1resource|2|3anarch|4&^^|5|6|7|8|9|10|11when your turn begins, gain {C}^^ and lose {O}.|12&^^^^^|13hard at work|

|1event|2run|3criminal|4&^^|5|6|7|8|9|10|11make a run. you may jack out when you encounter the first piece of ice.|12&^|13recon|

|1program|2|3criminal|4&^|5|6|7|8&^|9|10|11whenever you pass a piece of ice, you may trash @. if you do, choose another rezzed copy of that piece of ice protecting any server. the run continues as if you had just passed the chosen piece of ice (you are now running from the new position).|12&^|13copycat|

|1program|2icebreaker, decoder|3criminal|4&^^|5&^^^|6|7|8&^|9|10|11{C}^^^: break up to &^^^ code gate subroutines.\{C}^^^: +&^^^^^ strength.|12&^^^^^^|13leviathan|

|1event|2double|3shaper|4&^|5|6|7|8|9|10|11as an additional cost to play this event, spend {O}.\reveal the top card of your stack. you may install that card, lowering the install cost by {C}, if able; otherwise, trash it.|12&^^^|13eureka!|

|1hardware|2|3shaper|4&^|5|6|7|8|9|10|11whenever you make a successful run on archives, instead of breaching archives, you may add &^ faceup card from archives to the top of r&d.|12&|13record reconstructor|

|1hardware|2gear|3neutral|4&|5|6|7|8|9|10|11{R}^ \you can spend hosted credits to play events.|12&^^|13prepaid voicepad|

|1identity|2cyborg, g-mod|3anarch|4&|5|6|7&^|8|9&^^^^^^^^^^^^^^^|1045|11the first piece of ice the corp rezzes each turn costs {C}^ more to rez.|12|13reina roja: freedom fighter|

